"id" ,"cnt","dteday"    ,"season","yr","mnth","hr","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed"
11051,224  ,"2012-04-10",2       ,1   ,4     ,14  ,0        ,2        ,1           ,1           ,0.54  ,0.5152 ,0.24 ,0.194
11430,139  ,"2012-04-26",2       ,1   ,4     ,10  ,0        ,4        ,1           ,2           ,0.46  ,0.4545 ,0.94 ,0.1642
881  ,2    ,"2011-02-09",1       ,0   ,2     ,3   ,0        ,3        ,1           ,1           ,0.06  ,0.0758 ,0.45 ,0.1343
3209 ,138  ,"2011-05-18",2       ,0   ,5     ,14  ,0        ,3        ,1           ,2           ,0.58  ,0.5455 ,0.78 ,0.2836
3370 ,313  ,"2011-05-25",2       ,0   ,5     ,7   ,0        ,3        ,1           ,1           ,0.62  ,0.5909 ,0.73 ,0.1343
10723,221  ,"2012-03-27",2       ,1   ,3     ,21  ,0        ,2        ,1           ,1           ,0.36  ,0.3485 ,0.37 ,0.1642
891  ,58   ,"2011-02-09",1       ,0   ,2     ,14  ,0        ,3        ,1           ,1           ,0.2   ,0.1818 ,0.34 ,0.2985
15738,183  ,"2012-10-22",4       ,1   ,10    ,22  ,0        ,1        ,1           ,1           ,0.46  ,0.4545 ,0.82 ,0.1343
6470 ,9    ,"2011-10-02",4       ,0   ,10    ,3   ,0        ,0        ,0           ,3           ,0.34  ,0.3182 ,0.87 ,0.2836
14600,266  ,"2012-09-05",3       ,1   ,9     ,12  ,0        ,3        ,1           ,1           ,0.78  ,0.7727 ,0.7  ,0.1045
15371,306  ,"2012-10-07",4       ,1   ,10    ,15  ,0        ,0        ,0           ,3           ,0.42  ,0.4242 ,0.77 ,0.1343
7555 ,82   ,"2011-11-16",4       ,0   ,11    ,9   ,0        ,3        ,1           ,3           ,0.46  ,0.4545 ,0.94 ,0
8993 ,224  ,"2012-01-15",1       ,1   ,1     ,13  ,0        ,0        ,0           ,1           ,0.2   ,0.1818 ,0.34 ,0.2836
5811 ,419  ,"2011-09-04",3       ,0   ,9     ,13  ,0        ,0        ,0           ,2           ,0.78  ,0.7424 ,0.62 ,0.2836
542  ,184  ,"2011-01-24",1       ,0   ,1     ,17  ,0        ,1        ,1           ,1           ,0.14  ,0.1212 ,0.5  ,0.2537
11312,640  ,"2012-04-21",2       ,1   ,4     ,12  ,0        ,6        ,0           ,1           ,0.64  ,0.6212 ,0.57 ,0.2239
9317 ,51   ,"2012-01-29",1       ,1   ,1     ,2   ,0        ,0        ,0           ,1           ,0.28  ,0.2576 ,0.26 ,0.3284
345  ,41   ,"2011-01-15",1       ,0   ,1     ,20  ,0        ,6        ,0           ,2           ,0.32  ,0.303  ,0.39 ,0.2537
12888,10   ,"2012-06-26",3       ,1   ,6     ,4   ,0        ,2        ,1           ,1           ,0.54  ,0.5152 ,0.45 ,0.2985
3656 ,31   ,"2011-06-06",2       ,0   ,6     ,5   ,0        ,1        ,1           ,1           ,0.56  ,0.5303 ,0.88 ,0.0896
2354 ,39   ,"2011-04-12",2       ,0   ,4     ,23  ,0        ,2        ,1           ,2           ,0.4   ,0.4091 ,0.94 ,0.2537
2226 ,157  ,"2011-04-07",2       ,0   ,4     ,14  ,0        ,4        ,1           ,1           ,0.56  ,0.5303 ,0.43 ,0.0896
8403 ,280  ,"2011-12-21",1       ,0   ,12    ,18  ,0        ,3        ,1           ,2           ,0.44  ,0.4394 ,1    ,0.2985
12264,8    ,"2012-05-31",2       ,1   ,5     ,4   ,0        ,4        ,1           ,1           ,0.62  ,0.6061 ,0.69 ,0
1446 ,167  ,"2011-03-05",1       ,0   ,3     ,12  ,0        ,6        ,0           ,2           ,0.44  ,0.4394 ,0.67 ,0.2537
4734 ,6    ,"2011-07-21",3       ,0   ,7     ,3   ,0        ,4        ,1           ,2           ,0.74  ,0.7121 ,0.79 ,0.1343
15554,147  ,"2012-10-15",4       ,1   ,10    ,6   ,0        ,1        ,1           ,2           ,0.56  ,0.5303 ,0.73 ,0.2985
10071,167  ,"2012-02-29",1       ,1   ,2     ,16  ,0        ,3        ,1           ,3           ,0.4   ,0.4091 ,0.82 ,0.2239
12672,18   ,"2012-06-17",2       ,1   ,6     ,4   ,0        ,0        ,0           ,1           ,0.54  ,0.5152 ,0.64 ,0.0896
13676,188  ,"2012-07-29",3       ,1   ,7     ,0   ,0        ,0        ,0           ,1           ,0.66  ,0.5909 ,0.89 ,0.1343
3891 ,47   ,"2011-06-16",2       ,0   ,6     ,0   ,0        ,4        ,1           ,1           ,0.6   ,0.6212 ,0.56 ,0.1045
8375 ,138  ,"2011-12-20",4       ,0   ,12    ,14  ,0        ,2        ,1           ,2           ,0.44  ,0.4394 ,0.58 ,0.1045
5527 ,5    ,"2011-08-23",3       ,0   ,8     ,4   ,0        ,2        ,1           ,1           ,0.54  ,0.5152 ,0.56 ,0.1642
353  ,1    ,"2011-01-16",1       ,0   ,1     ,4   ,0        ,0        ,0           ,1           ,0.26  ,0.2576 ,0.56 ,0.1642
4936 ,156  ,"2011-07-29",3       ,0   ,7     ,13  ,0        ,5        ,1           ,1           ,0.94  ,0.8333 ,0.31 ,0
7799 ,325  ,"2011-11-26",4       ,0   ,11    ,13  ,0        ,6        ,0           ,1           ,0.48  ,0.4697 ,0.44 ,0
4685 ,13   ,"2011-07-19",3       ,0   ,7     ,2   ,0        ,2        ,1           ,1           ,0.72  ,0.6818 ,0.7  ,0.1642
14247,476  ,"2012-08-21",3       ,1   ,8     ,19  ,0        ,2        ,1           ,3           ,0.62  ,0.5909 ,0.73 ,0.1045
1198 ,77   ,"2011-02-22",1       ,0   ,2     ,22  ,0        ,2        ,1           ,1           ,0.16  ,0.1515 ,0.43 ,0.2537
10888,558  ,"2012-04-03",2       ,1   ,4     ,19  ,0        ,2        ,1           ,1           ,0.56  ,0.5303 ,0.26 ,0.1045
12621,51   ,"2012-06-15",2       ,1   ,6     ,1   ,0        ,5        ,1           ,1           ,0.58  ,0.5455 ,0.78 ,0.194
1379 ,268  ,"2011-03-02",1       ,0   ,3     ,17  ,0        ,3        ,1           ,1           ,0.5   ,0.4848 ,0.23 ,0.2836
11803,180  ,"2012-05-11",2       ,1   ,5     ,23  ,0        ,5        ,1           ,1           ,0.54  ,0.5152 ,0.37 ,0.194
8136 ,299  ,"2011-12-10",4       ,0   ,12    ,15  ,0        ,6        ,0           ,1           ,0.34  ,0.303  ,0.34 ,0.3582
594  ,27   ,"2011-01-27",1       ,0   ,1     ,22  ,0        ,4        ,1           ,1           ,0.18  ,0.2121 ,0.74 ,0.0896
4450 ,71   ,"2011-07-09",3       ,0   ,7     ,7   ,0        ,6        ,0           ,1           ,0.66  ,0.6061 ,0.78 ,0.194
16032,360  ,"2012-11-05",4       ,1   ,11    ,16  ,0        ,1        ,1           ,1           ,0.36  ,0.3333 ,0.43 ,0.2836
7677 ,128  ,"2011-11-21",4       ,0   ,11    ,11  ,0        ,1        ,1           ,2           ,0.52  ,0.5    ,0.83 ,0.1045
4212 ,221  ,"2011-06-29",3       ,0   ,6     ,9   ,0        ,3        ,1           ,1           ,0.72  ,0.6515 ,0.45 ,0.3881
10998,179  ,"2012-04-08",2       ,1   ,4     ,9   ,0        ,0        ,0           ,1           ,0.44  ,0.4394 ,0.26 ,0.2239
12878,791  ,"2012-06-25",3       ,1   ,6     ,18  ,0        ,1        ,1           ,1           ,0.76  ,0.6667 ,0.27 ,0.4478
4567 ,6    ,"2011-07-14",3       ,0   ,7     ,4   ,0        ,4        ,1           ,1           ,0.62  ,0.6212 ,0.53 ,0.2537
2272 ,202  ,"2011-04-09",2       ,0   ,4     ,12  ,0        ,6        ,0           ,2           ,0.36  ,0.3485 ,0.81 ,0.1343
1473 ,11   ,"2011-03-06",1       ,0   ,3     ,16  ,0        ,0        ,0           ,3           ,0.36  ,0.3333 ,1    ,0.2836
3915 ,24   ,"2011-06-17",2       ,0   ,6     ,0   ,0        ,5        ,1           ,1           ,0.56  ,0.5303 ,0.88 ,0.0896
11524,596  ,"2012-04-30",2       ,1   ,4     ,8   ,0        ,1        ,1           ,1           ,0.4   ,0.4091 ,0.43 ,0.194
9470 ,270  ,"2012-02-04",1       ,1   ,2     ,11  ,0        ,6        ,0           ,1           ,0.3   ,0.3333 ,0.7  ,0
11210,144  ,"2012-04-17",2       ,1   ,4     ,6   ,0        ,2        ,1           ,1           ,0.6   ,0.6212 ,0.46 ,0.2537
16720,156  ,"2012-12-04",4       ,1   ,12    ,10  ,0        ,2        ,1           ,1           ,0.46  ,0.4545 ,0.82 ,0.194
13494,268  ,"2012-07-21",3       ,1   ,7     ,10  ,0        ,6        ,0           ,3           ,0.58  ,0.5455 ,0.88 ,0.2537
5412 ,228  ,"2011-08-18",3       ,0   ,8     ,9   ,0        ,4        ,1           ,1           ,0.72  ,0.6818 ,0.66 ,0.2537
16143,146  ,"2012-11-10",4       ,1   ,11    ,8   ,0        ,6        ,0           ,1           ,0.32  ,0.3485 ,0.76 ,0
6548 ,219  ,"2011-10-05",4       ,0   ,10    ,9   ,0        ,3        ,1           ,1           ,0.54  ,0.5152 ,0.6  ,0.2985
13569,273  ,"2012-07-24",3       ,1   ,7     ,13  ,0        ,2        ,1           ,2           ,0.84  ,0.803  ,0.53 ,0.2985
9465 ,5    ,"2012-02-04",1       ,1   ,2     ,6   ,0        ,6        ,0           ,1           ,0.22  ,0.2273 ,0.87 ,0.1343
15615,516  ,"2012-10-17",4       ,1   ,10    ,19  ,0        ,3        ,1           ,1           ,0.5   ,0.4848 ,0.72 ,0.194
10336,389  ,"2012-03-11",1       ,1   ,3     ,18  ,0        ,0        ,0           ,1           ,0.52  ,0.5    ,0.29 ,0.2836
11497,6    ,"2012-04-29",2       ,1   ,4     ,5   ,0        ,0        ,0           ,1           ,0.34  ,0.3636 ,0.87 ,0
16876,126  ,"2012-12-10",4       ,1   ,12    ,22  ,0        ,1        ,1           ,2           ,0.5   ,0.4848 ,0.82 ,0.2239
8987 ,17   ,"2012-01-15",1       ,1   ,1     ,7   ,0        ,0        ,0           ,1           ,0.12  ,0.1212 ,0.54 ,0.2836
11500,107  ,"2012-04-29",2       ,1   ,4     ,8   ,0        ,0        ,0           ,1           ,0.38  ,0.3939 ,0.76 ,0.1343
1229 ,104  ,"2011-02-24",1       ,0   ,2     ,7   ,0        ,4        ,1           ,1           ,0.2   ,0.197  ,0.72 ,0.194
13465,42   ,"2012-07-20",3       ,1   ,7     ,5   ,0        ,5        ,1           ,2           ,0.66  ,0.5909 ,0.89 ,0.1343
14652,470  ,"2012-09-07",3       ,1   ,9     ,16  ,0        ,5        ,1           ,1           ,0.8   ,0.7576 ,0.55 ,0.2836
10992,26   ,"2012-04-08",2       ,1   ,4     ,3   ,0        ,0        ,0           ,1           ,0.42  ,0.4242 ,0.26 ,0.1343
13081,19   ,"2012-07-04",3       ,1   ,7     ,5   ,1        ,3        ,0           ,1           ,0.66  ,0.6212 ,0.69 ,0
896  ,88   ,"2011-02-09",1       ,0   ,2     ,19  ,0        ,3        ,1           ,3           ,0.14  ,0.1212 ,0.86 ,0.2537
16886,724  ,"2012-12-11",4       ,1   ,12    ,8   ,0        ,2        ,1           ,2           ,0.34  ,0.303  ,0.61 ,0.2985
9139 ,118  ,"2012-01-21",1       ,1   ,1     ,16  ,0        ,6        ,0           ,2           ,0.2   ,0.1818 ,0.8  ,0.2985
4756 ,24   ,"2011-07-22",3       ,0   ,7     ,1   ,0        ,5        ,1           ,1           ,0.8   ,0.7879 ,0.63 ,0
7016 ,79   ,"2011-10-24",4       ,0   ,10    ,22  ,0        ,1        ,1           ,1           ,0.48  ,0.4697 ,0.75 ,0.1642
14047,245  ,"2012-08-13",3       ,1   ,8     ,11  ,0        ,1        ,1           ,1           ,0.76  ,0.6818 ,0.4  ,0.0896
14463,610  ,"2012-08-30",3       ,1   ,8     ,19  ,0        ,4        ,1           ,1           ,0.76  ,0.6818 ,0.48 ,0.1343
695  ,52   ,"2011-02-01",1       ,0   ,2     ,7   ,0        ,2        ,1           ,3           ,0.16  ,0.2273 ,0.93 ,0
9955 ,233  ,"2012-02-24",1       ,1   ,2     ,19  ,0        ,5        ,1           ,2           ,0.44  ,0.4394 ,0.88 ,0.1045
6748 ,479  ,"2011-10-13",4       ,0   ,10    ,17  ,0        ,4        ,1           ,3           ,0.62  ,0.5758 ,0.83 ,0.2537
5708 ,111  ,"2011-08-31",3       ,0   ,8     ,6   ,0        ,3        ,1           ,1           ,0.54  ,0.5152 ,0.77 ,0
2756 ,508  ,"2011-04-29",2       ,0   ,4     ,17  ,0        ,5        ,1           ,2           ,0.52  ,0.5    ,0.45 ,0.3881
15773,373  ,"2012-10-24",4       ,1   ,10    ,9   ,0        ,3        ,1           ,2           ,0.52  ,0.5    ,0.77 ,0.0896
4695 ,153  ,"2011-07-19",3       ,0   ,7     ,12  ,0        ,2        ,1           ,1           ,0.84  ,0.8182 ,0.56 ,0.0896
11117,330  ,"2012-04-13",2       ,1   ,4     ,9   ,0        ,5        ,1           ,1           ,0.42  ,0.4242 ,0.41 ,0.1642
13442,152  ,"2012-07-19",3       ,1   ,7     ,6   ,0        ,4        ,1           ,1           ,0.72  ,0.6818 ,0.66 ,0.1343
7339 ,174  ,"2011-11-07",4       ,0   ,11    ,9   ,0        ,1        ,1           ,2           ,0.34  ,0.3333 ,1    ,0.1343
6790 ,374  ,"2011-10-15",4       ,0   ,10    ,11  ,0        ,6        ,0           ,1           ,0.56  ,0.5303 ,0.4  ,0.3881
17378,61   ,"2012-12-31",1       ,1   ,12    ,22  ,0        ,1        ,1           ,1           ,0.26  ,0.2727 ,0.56 ,0.1343
86   ,212  ,"2011-01-04",1       ,0   ,1     ,17  ,0        ,2        ,1           ,1           ,0.28  ,0.2727 ,0.48 ,0.2239
4979 ,142  ,"2011-07-31",3       ,0   ,7     ,8   ,0        ,0        ,0           ,1           ,0.76  ,0.697  ,0.55 ,0.2239
1850 ,164  ,"2011-03-22",2       ,0   ,3     ,19  ,0        ,2        ,1           ,2           ,0.44  ,0.4394 ,0.54 ,0.2537
6608 ,166  ,"2011-10-07",4       ,0   ,10    ,21  ,0        ,5        ,1           ,1           ,0.5   ,0.4848 ,0.68 ,0
15091,98   ,"2012-09-25",4       ,1   ,9     ,23  ,0        ,2        ,1           ,1           ,0.6   ,0.6212 ,0.56 ,0.3284
4894 ,375  ,"2011-07-27",3       ,0   ,7     ,19  ,0        ,3        ,1           ,1           ,0.8   ,0.697  ,0.29 ,0.0896
15606,228  ,"2012-10-17",4       ,1   ,10    ,10  ,0        ,3        ,1           ,2           ,0.46  ,0.4545 ,0.67 ,0
7018 ,30   ,"2011-10-25",4       ,0   ,10    ,0   ,0        ,2        ,1           ,1           ,0.44  ,0.4394 ,0.77 ,0.1343
4160 ,22   ,"2011-06-27",3       ,0   ,6     ,5   ,0        ,1        ,1           ,2           ,0.62  ,0.5758 ,0.83 ,0.1642
13299,380  ,"2012-07-13",3       ,1   ,7     ,7   ,0        ,5        ,1           ,2           ,0.7   ,0.6515 ,0.54 ,0
9109 ,97   ,"2012-01-20",1       ,1   ,1     ,10  ,0        ,5        ,1           ,2           ,0.22  ,0.2121 ,0.44 ,0.2836
9828 ,191  ,"2012-02-19",1       ,1   ,2     ,10  ,0        ,0        ,0           ,2           ,0.26  ,0.2424 ,0.52 ,0.2537
15657,375  ,"2012-10-19",4       ,1   ,10    ,13  ,0        ,5        ,1           ,1           ,0.62  ,0.5909 ,0.73 ,0.2239
3637 ,251  ,"2011-06-05",2       ,0   ,6     ,10  ,0        ,0        ,0           ,2           ,0.62  ,0.5909 ,0.73 ,0.0896
14358,385  ,"2012-08-26",3       ,1   ,8     ,10  ,0        ,0        ,0           ,1           ,0.74  ,0.697  ,0.66 ,0.3881
15409,19   ,"2012-10-09",4       ,1   ,10    ,5   ,0        ,2        ,1           ,2           ,0.38  ,0.3939 ,0.82 ,0.194
11823,439  ,"2012-05-12",2       ,1   ,5     ,19  ,0        ,6        ,0           ,2           ,0.64  ,0.6212 ,0.36 ,0.1642
14766,205  ,"2012-09-12",3       ,1   ,9     ,10  ,0        ,3        ,1           ,1           ,0.62  ,0.6061 ,0.61 ,0.1343
17014,400  ,"2012-12-16",4       ,1   ,12    ,16  ,0        ,0        ,0           ,2           ,0.38  ,0.3939 ,0.82 ,0.1045
3570 ,188  ,"2011-06-02",2       ,0   ,6     ,15  ,0        ,4        ,1           ,1           ,0.8   ,0.6818 ,0.21 ,0.3881
16370,406  ,"2012-11-19",4       ,1   ,11    ,19  ,0        ,1        ,1           ,2           ,0.4   ,0.4091 ,0.58 ,0.2836
13468,691  ,"2012-07-20",3       ,1   ,7     ,8   ,0        ,5        ,1           ,2           ,0.68  ,0.6364 ,0.83 ,0.1642
13125,29   ,"2012-07-06",3       ,1   ,7     ,1   ,0        ,5        ,1           ,1           ,0.78  ,0.7273 ,0.55 ,0.2239
12340,140  ,"2012-06-03",2       ,1   ,6     ,8   ,0        ,0        ,0           ,1           ,0.54  ,0.5152 ,0.6  ,0.0896
1486 ,34   ,"2011-03-07",1       ,0   ,3     ,6   ,0        ,1        ,1           ,1           ,0.2   ,0.1818 ,0.75 ,0.3881
7967 ,343  ,"2011-12-03",4       ,0   ,12    ,14  ,0        ,6        ,0           ,1           ,0.36  ,0.3788 ,0.46 ,0
7525 ,4    ,"2011-11-15",4       ,0   ,11    ,3   ,0        ,2        ,1           ,2           ,0.54  ,0.5152 ,0.68 ,0.3284
8699 ,85   ,"2012-01-03",1       ,1   ,1     ,6   ,0        ,2        ,1           ,1           ,0.14  ,0.1212 ,0.59 ,0.2836
14651,331  ,"2012-09-07",3       ,1   ,9     ,15  ,0        ,5        ,1           ,1           ,0.8   ,0.7576 ,0.55 ,0.2537
10609,10   ,"2012-03-23",2       ,1   ,3     ,3   ,0        ,5        ,1           ,1           ,0.52  ,0.5    ,0.88 ,0.1045
4603 ,361  ,"2011-07-15",3       ,0   ,7     ,16  ,0        ,5        ,1           ,1           ,0.72  ,0.6667 ,0.51 ,0.194
3181 ,104  ,"2011-05-17",2       ,0   ,5     ,10  ,0        ,2        ,1           ,3           ,0.54  ,0.5152 ,0.88 ,0.2537
15999,50   ,"2012-11-04",4       ,1   ,11    ,7   ,0        ,0        ,0           ,1           ,0.26  ,0.2727 ,0.65 ,0.1045
8162 ,163  ,"2011-12-11",4       ,0   ,12    ,17  ,0        ,0        ,0           ,1           ,0.28  ,0.3182 ,0.3  ,0
14803,170  ,"2012-09-13",3       ,1   ,9     ,23  ,0        ,4        ,1           ,1           ,0.58  ,0.5455 ,0.73 ,0.1045
698  ,47   ,"2011-02-01",1       ,0   ,2     ,10  ,0        ,2        ,1           ,2           ,0.16  ,0.2273 ,0.93 ,0
3067 ,288  ,"2011-05-12",2       ,0   ,5     ,16  ,0        ,4        ,1           ,2           ,0.64  ,0.6212 ,0.57 ,0.2537
12243,483  ,"2012-05-30",2       ,1   ,5     ,7   ,0        ,3        ,1           ,3           ,0.6   ,0.5758 ,0.78 ,0.194
12094,16   ,"2012-05-24",2       ,1   ,5     ,2   ,0        ,4        ,1           ,1           ,0.6   ,0.5455 ,0.88 ,0
9295 ,8    ,"2012-01-28",1       ,1   ,1     ,4   ,0        ,6        ,0           ,1           ,0.26  ,0.2576 ,0.6  ,0.1642
3767 ,250  ,"2011-06-10",2       ,0   ,6     ,20  ,0        ,5        ,1           ,1           ,0.76  ,0.7121 ,0.62 ,0.1045
12029,186  ,"2012-05-21",2       ,1   ,5     ,9   ,0        ,1        ,1           ,3           ,0.56  ,0.5303 ,0.88 ,0.2239
16070,118  ,"2012-11-07",4       ,1   ,11    ,6   ,0        ,3        ,1           ,2           ,0.26  ,0.2424 ,0.56 ,0.2836
230  ,74   ,"2011-01-10",1       ,0   ,1     ,20  ,0        ,1        ,1           ,1           ,0.16  ,0.1667 ,0.5  ,0.1642
3661 ,95   ,"2011-06-06",2       ,0   ,6     ,10  ,0        ,1        ,1           ,1           ,0.72  ,0.6667 ,0.51 ,0.2239
16386,205  ,"2012-11-20",4       ,1   ,11    ,11  ,0        ,2        ,1           ,2           ,0.42  ,0.4242 ,0.67 ,0.0896
13224,4    ,"2012-07-10",3       ,1   ,7     ,4   ,0        ,2        ,1           ,1           ,0.68  ,0.6364 ,0.79 ,0.1343
12677,274  ,"2012-06-17",2       ,1   ,6     ,9   ,0        ,0        ,0           ,1           ,0.56  ,0.5303 ,0.68 ,0.1642
11886,171  ,"2012-05-15",2       ,1   ,5     ,10  ,0        ,2        ,1           ,1           ,0.62  ,0.5909 ,0.78 ,0.1045
6105 ,167  ,"2011-09-16",3       ,0   ,9     ,22  ,0        ,5        ,1           ,1           ,0.48  ,0.4697 ,0.67 ,0.0896
9369 ,104  ,"2012-01-31",1       ,1   ,1     ,6   ,0        ,2        ,1           ,1           ,0.28  ,0.2727 ,0.52 ,0.1642
3881 ,178  ,"2011-06-15",2       ,0   ,6     ,14  ,0        ,3        ,1           ,1           ,0.74  ,0.6515 ,0.28 ,0
6049 ,124  ,"2011-09-14",3       ,0   ,9     ,14  ,0        ,3        ,1           ,1           ,0.78  ,0.7121 ,0.52 ,0.2239
2611 ,426  ,"2011-04-23",2       ,0   ,4     ,16  ,0        ,6        ,0           ,1           ,0.6   ,0.5909 ,0.73 ,0.2836
10004,88   ,"2012-02-26",1       ,1   ,2     ,20  ,0        ,0        ,0           ,1           ,0.32  ,0.3182 ,0.42 ,0.1642
606  ,30   ,"2011-01-28",1       ,0   ,1     ,11  ,0        ,5        ,1           ,3           ,0.18  ,0.2121 ,0.93 ,0.1045
