id,cnt
14470,20
4209,116
2130,349
16204,155
16253,173
3709,90
14860,128
13015,377
6198,337
14784,6
2839,4
5579,484
2610,397
3964,76
84,65
9967,23
14477,398
12260,61
287,139
12917,282
3952,327
1609,158
7269,162
14174,554
6062,8
10999,299
7824,313
7679,134
12132,584
1536,249
14478,256
15164,149
4339,452
10300,10
3407,322
8916,508
16167,119
12905,328
1326,36
9105,68
11890,184
6129,143
12323,702
14783,11
7301,204
1579,32
9768,111
7985,55
7780,153
4720,120
13646,622
14861,296
14879,7
9924,224
9658,26
13278,214
1621,38
2401,104
5098,270
5957,460
10788,229
16698,268
9819,72
4553,116
10175,17
10165,332
6080,145
8939,177
4048,147
1073,88
6476,115
284,28
2458,16
2103,198
10146,225
12126,232
17008,257
13925,341
6709,2
14407,218
2855,290
15529,11
3591,259
13878,213
5621,77
8434,12
10816,341
5045,11
16426,6
4372,15
2887,7
11186,133
5072,20
10537,3
5447,58
6638,30
2602,19
13316,191
12979,48
3393,98
2655,188
2261,20
4991,275
10441,3
12546,164
569,45
16650,446
13208,266
8607,194
3559,3
2343,92
10418,14
7305,85
6494,7
14878,13
1057,222
93,6
9098,56
1823,141
6925,7
16741,398
14587,95
13167,287
5991,4
13457,332
16485,207
1863,182
1245,50
4100,557
3242,72
10653,105
9584,76
17098,6
4755,60
587,26
4243,323
1979,110
1429,107
3863,297
7100,130
6366,320
14605,863
10121,160
13093,414
8687,126
5913,82
17093,88
6389,524
5242,307
12518,490
11146,660
10651,104
11240,110
10719,614
17179,186
16462,447
13115,254
5549,6
7024,98
2101,87
12425,298
14099,266
4923,57
17361,9
5265,76
9713,145
6265,24
942,63
4077,540
15265,34
17241,11
1452,152
17373,164
11768,272
17196,30
17291,112
6466,65
15930,146
1996,16
4234,320
4466,140
15461,355
9128,2
8781,294
8763,71
16280,21
6916,469
13789,865
5133,211
16406,273
1717,3
8804,449
16365,217
7747,81
8836,30
15692,154
1185,106
11028,255
2136,79
2934,18
2311,1
13904,283
9088,124
8643,52
14971,154
4921,174
3956,449
3389,14
3382,405
12576,10
9212,515
8415,64
9384,165
8560,96
4145,443
5300,269
15084,495
5468,383
11633,235
12095,4
1976,2
8288,75
8769,3
13511,43
12261,26
10852,306
11315,628
2411,300
8543,46
12479,40
10695,664
9491,62
780,46
5478,51
5390,128
3180,207
1445,159
10488,56
7855,109
3440,7
8232,167
7838,34
8963,24
9494,182
7394,281
14177,338
3601,171
7971,224
7233,57
16402,2
3855,169
16808,70
6732,12
11344,35
5158,228
4578,180
5388,209
9874,85
1777,278
9458,77
8274,243
11596,627
16296,580
8744,4
9948,228
5052,195
4947,133
11013,37
1186,44
3888,257
14023,449
12783,499
9054,4
5695,611
14623,62
14483,526
11842,552
1109,107
3118,248
13831,470
10371,24
6522,309
6515,27
8469,94
11526,157
3909,325
2960,5
12292,694
1008,90
14303,8
2307,32
12950,697
11937,327
11545,17
3398,160
1127,120
1279,85
6295,243
636,68
7815,5
13152,16
10049,530
5766,381
8875,136
3529,159
12595,153
3009,112
17100,118
9903,195
2901,520
9171,19
7329,50
9797,18
7302,165
10813,605
11263,229
17288,4
207,20
3197,6
2234,81
14392,416
5588,312
8734,281
7242,402
1904,5
6529,183
2889,89
11204,43
2772,156
5118,42
7300,237
6564,22
14588,37
2296,230
13756,681
9840,55
151,73
16533,228
14966,900
6690,352
16554,65
15432,6
4746,133
15546,125
663,21
13503,238
10561,8
6640,15
11249,189
12278,785
150,59
9606,2
3001,116
11914,263
1599,14
3408,223
14503,492
2542,383
9579,12
12107,291
12681,614
515,87
9228,236
11007,310
16474,11
3472,418
8323,129
6229,10
13769,320
17126,472
10746,362
8322,81
16310,78
7032,200
10147,149
2318,104
12617,337
3110,279
16789,215
10858,281
12263,8
362,118
4828,12
14727,633
5606,214
12985,10
16903,21
9365,2
2243,113
9566,138
6236,203
12377,265
15539,568
344,74
5348,530
6904,92
16946,241
121,36
9414,2
3308,306
5444,527
1324,92
9702,2
11429,201
5376,215
8015,133
2363,164
16975,95
9704,90
6910,199
7066,26
11286,237
9247,3
13968,7
8762,97
10083,5
1885,108
4164,187
2769,21
15991,148
10885,485
13626,234
13776,9
16783,28
10223,15
13694,419
374,16
7212,2
16314,423
7593,58
4384,140
11123,352
10409,472
13643,323
12192,6
11233,34
10584,6
11892,374
4750,284
423,82
963,137
8791,38
4523,417
15400,227
11837,222
14286,233
10368,1
17038,302
7458,101
10940,136
3851,486
6121,297
9266,91
775,205
16879,8
1457,44
2832,232
17324,147
1511,128
14388,444
4965,299
17102,599
4114,42
10227,3
15341,395
16459,379
17066,268
6992,94
5967,45
5791,371
13046,730
2367,95
4610,167
16963,313
4959,341
3941,53
5701,93
10562,4
12037,508
11327,40
11563,95
8728,46
1588,85
9600,107
3332,429
2046,5
12813,123
1309,187
6852,11
10136,94
6751,181
10623,957
16539,277
7760,22
3598,391
13829,278
2784,177
16025,257
766,220
5462,338
2583,80
9273,72
11712,5
6031,272
7452,46
8863,4
10577,582
2955,100
15480,8
5080,205
10305,223
5751,32
6489,64
17108,214
8701,354
3054,5
9632,9
16892,204
15228,459
13921,43
9450,216
11977,12
8160,266
1435,25
2624,12
8456,25
14485,617
4156,15
8266,31
13391,3
16815,170
592,59
9783,205
8977,69
5870,5
12799,236
13413,16
12853,532
11062,12
10015,280
12549,16
5223,240
15591,531
11998,98
7832,66
13907,306
14300,111
12924,392
14545,4
9752,87
10686,657
1729,142
5615,222
1872,238
16487,170
9689,155
8318,5
9720,77
14907,356
6354,249
5835,389
4219,328
12951,571
12178,547
9755,202
11289,381
6615,10
7053,155
14688,28
4775,212
2497,90
9333,168
10154,26
13573,869
1149,168
8828,330
109,190
13314,263
1942,248
8934,14
3182,130
2591,47
16003,445
5938,160
12404,49
12465,416
8568,169
1993,61
14933,362
7290,84
7818,42
584,36
310,117
13253,328
8222,26
16953,12
6853,5
16503,34
1344,46
15037,723
13010,27
2339,226
9697,36
16344,280
6154,54
14401,42
7605,140
4510,373
13428,224
4786,45
7790,4
11104,280
15604,817
10531,223
4400,32
243,35
16745,172
14765,328
8028,3
14598,235
8116,199
910,35
9983,91
9626,53
8677,53
15128,335
15184,315
9744,107
14481,368
10350,564
6373,9
1568,82
1479,10
12526,17
7462,366
1064,6
3841,134
6600,305
15127,294
1417,83
10980,626
17239,2
1499,145
4667,347
9415,1
16194,367
5687,218
15891,115
16998,110
9534,3
4737,117
2418,162
14061,27
10112,314
8490,43
16588,223
5762,260
16175,653
14976,10
12581,352
9602,43
9845,8
4238,169
16513,141
13558,16
6754,47
4247,340
3306,331
3043,289
15535,494
4682,91
119,1
14616,8
12111,492
6058,72
16163,11
4820,249
9829,226
17067,168
17187,42
9081,86
868,64
7898,380
7045,3
17015,243
10478,685
16889,173
1986,80
5846,8
5759,220
14079,627
16910,688
14775,635
4389,563
3338,72
8760,265
11724,389
3236,547
10831,275
10381,264
13737,288
562,68
4539,46
5339,355
14093,367
15316,785
10275,1
4222,401
17032,135
17204,33
2722,215
2948,354
16073,368
16791,301
2200,134
15433,40
14661,117
14062,11
8398,58
4892,572
11600,301
14553,566
6851,31
16669,31
9942,82
10008,29
4071,160
37,75
3193,98
7090,44
411,3
3981,296
8665,105
11347,17
12321,679
11438,664
370,28
7636,208
13350,382
6550,170
14287,278
14888,295
5904,102
7689,33
8473,99
12594,238
11329,6
16820,542
4248,323
11910,192
9083,423
6367,238
5804,3
16244,214
14456,294
11840,531
13507,149
7282,52
12062,785
10312,354
13026,151
2730,163
877,12
13922,173
6761,94
3305,316
5287,10
16993,257
10052,204
17045,47
1534,49
16729,460
15494,642
14905,48
282,4
13374,186
9665,155
2358,2
6302,59
9705,280
6965,220
15793,55
5241,106
6686,3
15804,499
13765,837
1259,85
6368,196
7650,65
6248,221
14178,261
7492,190
17018,122
8482,4
6869,570
8605,95
16548,31
14633,272
429,59
10901,684
13693,531
6115,108
15413,382
935,110
8969,220
12379,86
4877,6
786,8
7622,8
5970,20
1585,111
15706,640
9867,3
12285,34
6437,511
9342,4
4673,138
14158,43
6875,34
16673,355
4351,5
9363,15
10168,263
14776,470
7616,97
420,70
2593,24
14622,49
6905,318
15906,168
15438,217
9976,195
3739,200
5745,443
11508,587
7562,123
12210,157
4867,254
8453,50
16302,128
9932,269
7103,228
1254,114
12421,724
15496,308
3405,478
4251,68
3258,242
5841,175
14889,343
3544,154
15429,8
16837,23
17081,200
2904,180
14328,12
4066,327
15607,234
9413,9
10192,387
5633,23
3449,382
17122,6
176,95
5774,87
9523,430
595,16
10242,361
4123,410
7916,102
6153,84
11203,121
2946,378
15468,481
7683,210
3106,32
14347,158
8708,77
7586,195
7117,8
12053,333
13572,455
10510,23
16134,162
1201,4
12325,586
4615,16
15052,750
15829,817
8261,221
10097,525
790,10
5798,109
11694,190
11853,11
7225,187
3714,128
13566,218
5832,244
2541,441
9116,349
13551,582
1786,30
6413,584
3934,328
666,7
9387,31
5387,487
3006,4
4158,2
7953,75
14145,357
218,188
6385,170
10044,183
1467,31
15938,678
7503,19
2892,184
16478,25
8486,1
1795,203
14725,871
15250,163
12867,485
8279,128
5956,431
1687,55
8892,499
560,106
9334,159
4502,128
16633,377
1055,122
14646,224
7725,116
5436,218
9619,396
12495,360
3075,52
12500,158
14489,303
6179,25
4568,28
14458,273
14849,296
5419,245
11792,348
9569,54
3817,128
16012,141
275,57
3521,140
4405,101
5630,88
16960,190
12064,373
16835,8
6300,124
7803,184
15225,305
15078,170
13288,514
1330,42
16767,276
1782,72
14506,514
2748,230
11047,181
10237,175
6951,8
1002,130
14331,102
11927,3
7991,323
1701,88
14296,474
4178,81
16509,203
13743,614
12359,5
11661,121
997,2
5264,26
6859,499
5853,364
11037,26
11843,499
9793,82
15733,922
6755,39
7998,72
2759,194
14,94
16516,64
11471,26
9487,9
973,12
4313,375
2711,218
12991,452
14439,643
9498,272
1642,37
6339,313
15850,750
16177,405
11556,354
3404,494
14942,892
10025,529
14514,78
12423,538
2132,303
17363,85
1267,50
543,153
9837,119
15363,35
8414,16
5948,119
16930,8
11357,272
14573,323
7849,264
10892,79
3623,239
4091,466
1284,165
4067,432
4653,390
2648,17
1854,32
3857,159
8204,124
7741,5
10372,113
8929,174
8984,6
8074,7
1681,90
16919,561
15465,291
12036,315
11511,375
2010,86
14453,396
5325,347
14701,671
2385,70
219,94
10014,90
10587,34
16130,361
10070,90
6701,539
8064,30
532,84
14329,14
15177,686
9944,469
16015,53
1537,141
5096,16
5246,187
15889,124
3800,10
9462,18
14385,288
3062,179
5142,32
15916,268
7523,10
13943,6
322,52
6406,158
2619,96
508,1
14895,486
9633,19
16982,119
15427,84
10801,31
11916,446
6311,413
2935,5
11997,130
16261,147
1893,90
4634,168
7111,74
12800,254
7959,11
12033,184
7176,141
13053,14
16236,39
9300,158
5124,215
715,1
13690,522
7891,110
5737,192
9433,109
1852,87
10255,585
11926,16
16862,584
3635,98
9732,120
11707,113
11982,452
928,24
12275,290
5581,142
4206,5
1327,32
11198,676
3364,8
7582,121
8200,223
13529,345
10355,250
5702,32
14189,270
4654,379
11096,259
5046,4
12045,27
3391,2
9329,280
260,16
5035,274
2685,528
2445,38
10118,78
10684,117
16131,255
9906,525
14081,308
12603,506
796,55
627,34
7735,66
11161,10
11092,624
2085,281
9,8
10617,318
16691,38
14060,60
1576,5
6579,323
107,62
9524,437
3512,26
10694,305
6499,372
12764,69
2220,314
325,28
16054,240
8045,110
13345,9
10809,463
5674,277
10789,280
17097,4
8520,97
15785,313
6391,102
13186,312
3771,117
11634,232
16044,7
17313,3
2446,71
11561,282
6483,206
10072,253
10039,325
15319,304
12081,270
8072,16
15575,2
2340,54
2551,6
964,64
9023,144
16525,124
185,22
16739,49
16507,202
12134,522
4918,322
10027,334
10028,219
11482,440
9718,184
2302,240
12616,435
14011,163
17362,40
8476,25
15151,361
2997,524
3565,139
7905,20
16646,144
16870,345
7168,86
11444,73
6177,129
13608,4
13969,33
2717,21
14308,744
6954,114
11003,503
7490,319
14555,449
2978,50
16262,410
9480,78
7404,5
15477,37
14277,25
1857,2
3917,13
15515,615
4517,9
675,69
4751,237
3877,135
2133,274
3453,385
6682,75
1310,127
2303,131
13262,814
12160,255
8852,69
8207,134
17168,18
2883,27
4779,101
16227,223
16938,282
11864,185
13706,161
8187,357
5411,420
1206,96
17368,224
15252,374
994,7
725,75
1734,138
15873,391
8566,167
11765,361
2045,5
11219,308
15578,172
1712,27
5383,5
5258,127
15743,1
16939,271
8364,2
8812,119
6047,212
9877,131
14987,423
10127,22
1243,83
568,119
13791,607
17161,60
11985,704
10101,126
17240,2
7506,452
2911,1
16956,113
637,58
12670,74
885,199
3671,336
9507,21
13585,59
15510,347
7438,239
10307,329
14242,302
8302,236
15056,342
3112,248
14363,391
13541,345
6794,377
6620,217
6847,229
6180,14
16189,71
17194,9
4258,243
17354,36
126,59
15342,539
16361,139
2852,517
4027,335
6635,129
14920,290
17228,86
15029,276
6301,106
17070,41
1547,134
9246,6
553,9
8827,328
4155,32
1940,216
1154,42
15061,898
6012,10
14631,558
125,45
13888,457
2495,165
13870,5
13292,95
11102,610
7767,5
13654,90
12073,35
6590,10
3782,325
7565,111
1063,17
5528,36
2757,439
10744,641
9675,6
1746,117
17345,169
11553,249
8634,273
6898,26
16234,5
17305,92
6984,408
11777,230
7128,29
6082,69
15455,3
11541,21
7133,39
16616,12
3203,453
1357,119
16305,49
16659,158
6222,283
1493,70
12865,43
1234,95
1737,29
11668,114
5349,483
13556,64
7908,7
8152,31
144,34
14229,33
906,26
5069,7
14492,168
14974,14
6772,481
7422,168
11098,224
14398,15
10475,686
12815,42
12634,376
6750,205
13168,276
2189,2
338,101
6166,139
3844,13
6106,126
3350,175
10922,29
14156,105
9530,23
13296,11
3314,65
2003,133
8115,318
6160,28
3590,192
10182,260
5047,7
6249,187
6421,15
7080,92
4103,288
11610,246
7652,229
13601,397
8867,222
15737,174
4417,182
16277,153
9715,523
14163,64
10690,279
3443,102
4478,287
4064,24
617,26
7752,168
4402,292
6718,120
5868,58
4482,361
5486,313
14567,10
4950,43
3982,311
8721,2
11756,33
6148,325
16106,373
16008,435
11506,653
9792,107
2838,2
1641,58
15925,40
662,28
12281,359
5878,190
6444,58
8799,203
10059,2
3288,227
15476,68
10783,321
3684,217
10229,108
3427,419
14346,182
4948,90
3013,127
5471,248
9280,201
8725,315
10365,63
4983,338
8259,377
15896,16
6785,20
14164,189
15089,297
4359,201
15364,62
16952,9
6891,181
16500,3
4428,241
13950,205
11491,42
12382,8
11611,121
5217,119
10289,470
11087,5
192,1
1227,4
11891,256
12488,531
1066,4
9518,150
3911,201
11231,6
795,72
17243,26
13990,85
16625,201
9070,256
7191,18
14021,217
14855,48
8483,2
9326,255
7207,127
1810,6
3938,178
16109,161
5122,63
8880,200
628,55
6826,62
5251,298
10058,4
3798,28
12740,53
12882,187
11361,107
7463,353
14265,316
1190,58
3638,335
7173,128
8979,76
8707,79
6995,15
16332,12
15790,18
9908,274
1806,38
5557,146
8656,70
3713,155
7927,104
3763,285
3531,34
6558,374
6714,259
7220,133
14449,35
13906,261
10637,70
2090,74
16579,208
8192,45
16120,327
5371,303
7189,6
4447,6
8067,51
10512,8
16664,74
6221,408
12656,603
8128,11
5575,7
8330,136
12266,178
15599,7
11666,17
13653,80
327,12
7556,36
712,2
13881,289
3534,6
1283,211
7020,5
9887,47
3573,525
8913,16
6214,180
16865,134
11492,36
769,64
14779,127
11814,411
8835,58
7934,23
6993,49
12050,137
2173,46
1656,75
5706,5
6747,276
11570,120
13749,33
3528,210
10047,166
15696,21
8429,33
436,1
6019,425
7037,338
7596,10
640,32
10,14
1548,91
10018,104
860,39
12364,665
14628,416
12339,35
12583,246
3509,12
11352,3
14340,434
792,34
2425,80
5302,237
13847,41
14785,57
14903,6
5480,8
11601,265
9928,343
7659,203
15406,7
6063,7
10318,83
16715,46
16893,270
8489,23
17372,214
11660,134
8697,5
7682,108
7623,2
12563,116
2992,174
3262,302
16027,150
2692,17
6668,219
279,2
13746,257
6811,99
2141,11
4203,36
2752,308
1387,1
2562,235
12172,151
16429,17
2364,65
15684,691
14345,208
8203,102
16323,172
12997,362
3047,273
1295,22
2778,499
1383,71
11895,512
1316,30
15395,370
7773,226
9292,58
2848,194
9963,7
9690,211
15215,7
14467,152
16178,277
1938,227
11392,285
15119,7
10717,200
13519,505
12913,36
6427,456
4824,153
5985,159
8213,161
10906,251
14530,457
7349,300
15635,353
17183,114
10433,425
5923,108
13884,451
15227,329
6830,2
10317,100
2840,14
10302,40
7504,114
1722,185
5055,161
23,28
11378,120
501,30
5364,198
12224,237
10848,5
8637,253
917,165
12253,839
5179,282
4277,52
9398,143
10276,29
14029,505
5776,41
3274,43
11441,250
17,93
312,53
5639,53
7416,64
2990,125
12664,352
14643,486
8575,15
16258,2
9578,26
13121,323
5749,126
17374,122
823,121
9364,8
13899,502
100,195
15678,423
16535,346
12791,7
3806,367
8243,7
14745,328
14866,635
7617,59
10727,8
17048,7
14820,563
12477,123
6838,166
3823,4
12542,831
14831,37
15652,467
13721,322
3742,326
1132,33
12611,324
2361,34
12564,239
17121,3
12476,206
1332,131
16754,293
412,2
11232,7
15833,292
16062,153
3777,40
15200,680
12523,110
6654,302
12524,41
9472,302
3722,116
5660,102
17152,118
6056,213
6474,29
6695,181
6394,71
11641,22
12313,12
742,87
17245,23
92,11
5262,9
10377,219
9086,99
15939,452
7901,190
182,28
2294,150
13674,276
4487,268
2873,107
1419,150
206,38
14579,292
4174,396
11086,4
6330,332
13649,260
2204,169
8058,64
6844,620
9022,181
4438,270
11155,196
10611,34
4435,132
9399,179
9707,262
8962,5
7787,29
930,216
1989,252
10701,48
16113,12
9187,122
3685,123
451,152
3196,12
11220,370
2009,104
17282,44
6130,136
9913,15
2894,148
11044,384
10517,354
16360,278
5057,147
4199,296
6799,179
624,2
15707,623
14752,461
5524,19
691,2
17063,572
6743,105
7284,31
2295,202
5642,306
15110,884
9314,85
12147,54
16663,94
5593,147
8254,164
12102,185
14438,812
12276,487
1147,198
5274,249
8211,382
10050,449
3960,183
9694,214
11613,48
670,8
15143,7
2070,7
1469,79
16226,356
354,2
6817,462
1304,193
6655,193
16731,280
10937,312
15716,31
6880,31
13937,381
2486,123
12186,59
9921,242
7915,93
12460,700
12153,539
15920,60
14717,361
10091,220
6894,145
14293,820
807,44
13331,560
15624,5
9827,93
2409,47
4317,181
6344,182
12767,11
6729,43
10222,54
2937,13
17191,11
5538,601
15900,5
4325,63
4835,387
12780,320
15840,13
8680,175
13318,101
11872,189
2201,112
9007,3
17026,5
2399,169
12683,463
16692,138
7078,53
1433,46
16213,50
13074,177
11376,3
12486,466
11209,30
632,99
6137,12
8666,83
13843,222
17268,208
7534,176
16940,242
2185,89
1437,2
15883,14
14923,78
15165,101
12802,263
539,45
16145,350
9046,308
13228,649
8329,234
17111,475
7062,207
16046,149
13538,157
131,86
13914,224
13187,298
4749,382
12035,225
11192,271
523,25
13355,489
79,42
15302,887
6159,8
2366,61
6800,168
11334,68
3010,314
13917,23
2283,57
13705,47
11904,4
14540,104
9577,60
5916,16
14932,797
3515,406
5403,56
16787,26
8055,18
4787,109
14176,341
15121,66
9592,144
5345,151
3807,420
16,110
8137,241
527,1
7920,154
15654,224
4413,562
1455,72
1714,12
9754,498
12771,463
5389,118
13800,12
12485,340
1969,57
11576,245
11716,641
6195,264
7569,31
2017,83
14804,87
14510,442
3578,112
6704,175
7338,410
28,6
2984,23
15695,41
5717,172
1363,4
9131,25
17039,495
2641,45
708,74
8221,4
15630,218
16417,311
4605,496
13097,584
13713,226
11365,232
8335,49
4650,324
13059,483
220,31
2040,44
12748,643
3631,12
11439,464
11520,2
11486,90
7858,17
17107,217
15966,149
11122,348
6065,124
11371,59
2565,452
15588,446
13852,108
1532,2
4657,181
15762,194
6863,201
6331,355
15687,345
17286,5
17330,54
13002,172
453,57
510,19
2044,3
5361,119
10721,417
3239,282
6061,5
3155,394
480,13
6559,246
11621,294
12624,14
5554,308
6957,282
11229,14
16506,204
15287,11
8212,267
4701,530
7588,307
17060,247
8057,86
597,3
17357,19
3809,315
15983,448
14868,596
7516,489
4542,4
3725,6
9902,177
1472,7
2841,109
3212,565
3128,14
15086,822
12287,4
12239,5
2581,136
11920,459
14058,192
6985,387
15253,715
16038,115
2777,452
3901,121
15723,452
7757,28
10545,230
16722,312
6446,25
4073,149
13710,189
7434,258
13480,251
5591,225
4743,135
15763,111
12996,373
8756,119
9975,232
13836,450
8107,126
11252,25
2415,200
2435,45
8901,134
9821,15
12531,503
12569,274
17167,20
8709,136
6899,15
11956,745
14806,30
13860,421
9843,15
11530,218
1420,66
4896,245
15315,428
15704,675
4214,170
15130,258
16971,172
16165,19
2845,127
8352,159
2746,240
17065,353
16522,5
10552,801
728,103
3053,15
16914,232
9195,25
4241,163
1431,70
12904,505
4021,161
6601,256
5975,402
4554,46
5609,219
7706,62
1052,93
5407,9
2089,93
17202,70
5534,186
309,158
10883,311
13861,382
3632,6
12760,407
11181,28
14075,283
2269,98
11423,6
8930,133
16796,215
5911,52
6087,4
9409,140
2988,178
7754,114
15132,472
1625,3
8291,58
11464,289
1956,7
1928,25
6480,308
7243,164
7340,123
2167,4
11527,163
16484,225
11009,211
13088,494
12057,243
7489,310
14531,355
15145,38
3307,273
3077,11
8164,105
12671,28
5186,72
10920,5
67,52
13414,8
13539,421
7445,199
7449,73
575,1
1907,9
10838,511
9864,26
14420,47
40,76
15004,218
10638,154
12471,555
6468,24
8726,180
11023,178
9847,10
8314,46
4644,184
5115,133
8902,98
2408,13
15845,328
6584,195
13505,163
6771,344
8686,153
12469,793
3177,49
106,62
7770,74
9014,126
14732,32
9558,1
7635,232
7789,17
2274,212
11962,350
2733,530
15282,241
10683,36
11793,363
12474,291
103,46
7726,160
463,68
16369,580
14871,403
10598,425
9111,124
1202,1
9439,2
11651,541
2135,144
10111,549
16596,121
3784,387
10706,3
10215,250
10755,32
7816,9
5616,190
12738,291
7733,122
3922,250
15201,594
13493,207
4532,428
6974,6
3481,171
3240,209
13609,42
6776,178
10777,7
7759,26
11894,733
16346,210
6775,196
1957,14
17117,13
1067,4
3951,420
9452,488
12918,172
6839,205
387,86
16725,300
857,1
7047,21
11907,440
2931,86
9645,87
6279,8
4754,113
15460,798
13219,131
7996,173
12673,17
9573,161
2798,250
14851,229
13066,310
9795,45
9568,108
13758,236
1605,53
7442,238
1070,126
1837,60
3762,212
2012,136
87,182
15791,8
1635,304
8538,30
10558,33
15218,155
918,160
9485,63
13221,15
6658,123
8700,170
9140,106
13610,181
2288,5
127,84
14822,808
6819,466
16736,9
16810,12
2468,306
1016,20
5755,20
10199,8
5401,171
10865,329
14212,655
717,3
13892,47
5367,162
11587,98
9034,126
6326,5
3789,286
11735,2
17370,247
5117,53
7370,289
7717,3
11300,142
1542,71
3553,129
16479,62
758,38
15411,362
13132,585
12794,122
12585,255
12196,155
1575,8
10408,749
16642,5
549,9
9055,1
12143,31
9982,82
10557,90
12468,523
7704,35
11629,643
1238,71
14823,579
8012,123
6572,208
10799,82
16708,144
6942,184
13271,10
9547,509
4658,93
14430,178
12396,473
189,4
6109,79
16881,3
7469,171
4440,204
9079,1
9179,272
2119,11
12084,278
15258,240
7447,83
15800,319
4401,118
14252,55
5787,353
10042,132
5029,140
1818,79
15071,5
6719,62
9237,439
168,2
9215,229
6801,166
7645,37
9940,2
10767,703
8494,86
12610,298
6808,7
16349,74
16647,193
14590,9
205,41
14722,340
8593,135
14674,626
10582,41
2191,4
4412,569
15855,300
5813,410
1883,9
17034,232
9526,201
6050,176
6304,3
12890,188
5614,290
12140,116
17208,18
2776,455
2,40
15499,100
2065,60
10012,1
11421,23
11683,102
10043,163
3814,223
9385,129
9934,137
7317,320
11857,26
6384,162
13362,130
4902,5
16411,344
5499,40
16684,96
7993,330
14756,49
364,113
1584,81
257,6
2313,61
16040,19
8032,234
4635,125
6822,233
2098,12
16589,154
5422,141
15801,313
12770,150
677,68
397,3
14960,290
2783,224
5354,88
3994,46
13075,171
10616,275
15160,336
14642,140
1271,12
3697,153
14260,740
6672,365
10179,1
2213,13
7922,418
11288,362
14592,5
14977,49
6140,140
3276,225
16465,208
12272,292
14234,169
8949,332
42,53
4791,235
15778,301
8271,82
16979,3
1682,114
11436,318
8004,2
16490,83
1104,327
16716,153
12536,261
11918,846
1998,3
5580,162
767,127
2584,40
7502,5
2300,288
13330,632
6624,485
7952,95
17340,33
13448,274
15214,12
9878,124
15424,360
2525,2
15943,120
14394,161
6307,86
2809,100
11079,384
6021,135
12606,179
3773,60
8103,63
6881,68
4971,113
6805,65
1014,43
4308,181
4952,13
4040,23
11816,559
4098,216
14196,356
14041,36
5964,108
1165,19
11057,282
17321,84
1011,205
3588,230
2738,110
487,27
12000,16
13915,138
8250,280
8462,4
14541,55
11246,505
3279,493
1336,76
16352,19
13818,202
9522,228
12076,719
116,11
16962,273
10819,143
5535,237
15742,7
934,71
8730,91
13269,21
14536,104
9421,78
3037,154
10851,110
7914,224
1867,108
10918,13
8590,177
10730,1
317,90
16594,7
6044,202
15082,293
12375,645
12446,813
1282,174
14691,70
3703,6
7687,114
9892,2
16631,582
1145,161
10053,188
6509,412
9978,133
16636,163
8796,20
6554,182
3986,92
13859,450
4806,37
13176,13
561,93
11349,2
8757,197
5253,571
11990,645
11070,153
14734,6
10060,29
15950,122
10173,62
15391,308
13560,6
10682,4
7244,110
13156,152
16400,14
13617,242
7104,185
2629,289
11882,24
2909,16
12512,502
16205,112
15633,332
10279,501
11269,748
2800,332
13435,131
